TCM_symptom_id,TCM_symptom_name,first_source,first_status,first_detail_url,first_message,second_source,second_status,second_detail_url,second_message,updated,updated_source
94,陈旧性伤痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%99%88%E6%97%A7%E6%80%A7%E4%BC%A4%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
92,肠胃不适,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%82%A0%E8%83%83%E4%B8%8D%E9%80%82,HTTP 404: page does not exist,dayi,ok,https://www.dayi.org.cn/symptom/1153428.html,,yes,dayi
96,齿鼻衄血,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%BD%BF%E9%BC%BB%E8%A1%84%E8%A1%80,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
95,晨起面肿,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%99%A8%E8%B5%B7%E9%9D%A2%E8%82%BF,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
100,赤白下痢,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B5%A4%E7%99%BD%E4%B8%8B%E7%97%A2,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
102,赤缕红斑,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B5%A4%E7%BC%95%E7%BA%A2%E6%96%91,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
106,抽搐神昏,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%8A%BD%E6%90%90%E7%A5%9E%E6%98%8F,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
112,喘促痰多,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%96%98%E4%BF%83%E7%97%B0%E5%A4%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
104,虫咬肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%99%AB%E5%92%AC%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
111,喘促气逆,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%96%98%E4%BF%83%E6%B0%94%E9%80%86,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
119,疮疖痈肿,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%96%E7%97%88%E8%82%BF,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
120,疮疖肿毒,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%96%E8%82%BF%E6%AF%92,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
121,疮疖肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%96%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
123,疮面久溃不敛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E9%9D%A2%E4%B9%85%E6%BA%83%E4%B8%8D%E6%95%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
122,疮口久不愈合,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E5%8F%A3%E4%B9%85%E4%B8%8D%E6%84%88%E5%90%88,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
124,疮面疼痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E9%9D%A2%E7%96%BC%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
125,疮面鲜活,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E9%9D%A2%E9%B2%9C%E6%B4%BB,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
126,疮色鲜活,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E8%89%B2%E9%B2%9C%E6%B4%BB,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
127,疮癣,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%99%A3,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
130,疮疡久溃不敛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%A1%E4%B9%85%E6%BA%83%E4%B8%8D%E6%95%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
138,唇甲色淡,duguji,ok,https://baike.duguji.cn/baike/w/%E5%94%87%E7%94%B2%E8%89%B2%E6%B7%A1,,,skipped_first_source_success,,,yes,duguji
129,疮疡不敛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%A1%E4%B8%8D%E6%95%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
132,疮疡肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%A1%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
131,疮疡溃烂,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%96%A1%E6%BA%83%E7%83%82,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
135,创伤出血,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%88%9B%E4%BC%A4%E5%87%BA%E8%A1%80,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
133,疮痈肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%AE%E7%97%88%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
137,唇甲出血,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%94%87%E7%94%B2%E5%87%BA%E8%A1%80,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
143,大便不畅,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E4%B8%8D%E7%95%85,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
142,挫伤筋骨,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%8C%AB%E4%BC%A4%E7%AD%8B%E9%AA%A8,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
140,猝然昏倒,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%8C%9D%E7%84%B6%E6%98%8F%E5%80%92,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
144,大便不利,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E4%B8%8D%E5%88%A9,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
145,大便不爽,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E4%B8%8D%E7%88%BD,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
148,大便不下,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E4%B8%8D%E4%B8%8B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
146,大便不调,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E4%B8%8D%E8%B0%83,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
151,大便次数增多,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%AC%A1%E6%95%B0%E5%A2%9E%E5%A4%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
149,大便臭秽,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E8%87%AD%E7%A7%BD,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
152,大便干,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E5%B9%B2,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
158,大便黏滞,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E9%BB%8F%E6%BB%9E,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
153,大便干结,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E5%B9%B2%E7%BB%93,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
154,大便干结难下,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E5%B9%B2%E7%BB%93%E9%9A%BE%E4%B8%8B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
159,大便黏滞不爽,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E9%BB%8F%E6%BB%9E%E4%B8%8D%E7%88%BD,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
161,大便清稀,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%B8%85%E7%A8%80,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
160,大便脓血,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E8%84%93%E8%A1%80,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
162,大便失调,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E5%A4%B1%E8%B0%83,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
171,大便燥结,duguji,ok,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E7%87%A5%E7%BB%93,,,skipped_first_source_success,,,yes,duguji
169,大便稀溏,duguji,no_definition,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E7%A8%80%E6%BA%8F,raw page parsed but no definition found,dayi,not_found,,no exact symptom result in search page,no,
164,大便溏雹,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%BA%8F%E9%9B%B9,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
163,大便酸臭,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E9%85%B8%E8%87%AD,HTTP 404: page does not exist,dayi,ok,https://www.dayi.org.cn/symptom/1142445.html,,yes,dayi
165,大便溏薄,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%BA%8F%E8%96%84,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
166,大便溏软,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%BA%8F%E8%BD%AF,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
167,大便溏泻,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%BA%8F%E6%B3%BB,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
185,巅顶疼痛,duguji,ok,https://baike.duguji.cn/baike/w/%E5%B7%85%E9%A1%B6%E7%96%BC%E7%97%9B,,,skipped_first_source_success,,,yes,duguji
170,大便泄泻,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E6%B3%84%E6%B3%BB,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
168,大便稀薄如水样,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E7%A8%80%E8%96%84%E5%A6%82%E6%B0%B4%E6%A0%B7,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
176,带下色黄,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%B8%A6%E4%B8%8B%E8%89%B2%E9%BB%84,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
175,带下量多,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%B8%A6%E4%B8%8B%E9%87%8F%E5%A4%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
173,带下白浊,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%B8%A6%E4%B8%8B%E7%99%BD%E6%B5%8A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
182,倒饱嘈杂,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%80%92%E9%A5%B1%E5%98%88%E6%9D%82,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
177,带下色黄质稠,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%B8%A6%E4%B8%8B%E8%89%B2%E9%BB%84%E8%B4%A8%E7%A8%A0,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
188,癫痫痰多,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%99%AB%E7%97%AB%E7%97%B0%E5%A4%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
192,跌打瘀痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B7%8C%E6%89%93%E7%98%80%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
189,癲痫,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%99%B2%E7%97%AB,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
203,毒蛇咬伤,duguji,ok,https://baike.duguji.cn/baike/w/%E6%AF%92%E8%9B%87%E5%92%AC%E4%BC%A4,,,skipped_first_source_success,,,yes,duguji
204,毒蛇咬伤,duguji,ok,https://baike.duguji.cn/baike/w/%E6%AF%92%E8%9B%87%E5%92%AC%E4%BC%A4,,,skipped_first_source_success,,,yes,duguji
193,跌打肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B7%8C%E6%89%93%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
194,跌扑伤痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B7%8C%E6%89%91%E4%BC%A4%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
190,跌打伤痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B7%8C%E6%89%93%E4%BC%A4%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
213,多食,duguji,ok,https://baike.duguji.cn/baike/w/%E5%A4%9A%E9%A3%9F,,,skipped_first_source_success,,,yes,duguji
196,跌扑肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B7%8C%E6%89%91%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
195,跌扑瘀肿,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%B7%8C%E6%89%91%E7%98%80%E8%82%BF,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
198,疔疮肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%94%E7%96%AE%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
197,疔疮痈肿初起,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%96%94%E7%96%AE%E7%97%88%E8%82%BF%E5%88%9D%E8%B5%B7,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
215,多饮,duguji,ok,https://baike.duguji.cn/baike/w/%E5%A4%9A%E9%A5%AE,,,skipped_first_source_success,,,yes,duguji
223,耳道流脓,duguji,ok,https://baike.duguji.cn/baike/w/%E8%80%B3%E9%81%93%E6%B5%81%E8%84%93,,,skipped_first_source_success,,,yes,duguji
201,动辄汗出,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%8A%A8%E8%BE%84%E6%B1%97%E5%87%BA,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
202,毒虫咬伤,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%AF%92%E8%99%AB%E5%92%AC%E4%BC%A4,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
209,多泪,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%9A%E6%B3%AA,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
205,毒邪未尽,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%AF%92%E9%82%AA%E6%9C%AA%E5%B0%BD,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
210,多泪羞明,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%9A%E6%B3%AA%E7%BE%9E%E6%98%8E,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
214,多涎,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%A4%9A%E6%B6%8E,HTTP 404: page does not exist,dayi,ok,https://www.dayi.org.cn/symptom/1015462.html,,yes,dayi
218,恶风寒,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%81%B6%E9%A3%8E%E5%AF%92,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
220,恶寒重,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%81%B6%E5%AF%92%E9%87%8D,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
221,恶寒壮热,duguji,not_found,https://baike.duguji.cn/baike/w/%E6%81%B6%E5%AF%92%E5%A3%AE%E7%83%AD,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
228,耳下肿痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%80%B3%E4%B8%8B%E8%82%BF%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
229,二便失禁,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%8C%E4%BE%BF%E5%A4%B1%E7%A6%81,HTTP 404: page does not exist,dayi,ok,https://www.dayi.org.cn/symptom/1142965.html,,yes,dayi
239,发疹,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%8F%91%E7%96%B9,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
230,发斑,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%8F%91%E6%96%91,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
235,发热重,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%8F%91%E7%83%AD%E9%87%8D,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
232,发僵,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%8F%91%E5%83%B5,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
241,烦倦,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%83%A6%E5%80%A6,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
253,泛吐清水,duguji,ok,https://baike.duguji.cn/baike/w/%E6%B3%9B%E5%90%90%E6%B8%85%E6%B0%B4,,,skipped_first_source_success,,,yes,duguji
259,肺燥,duguji,ok,https://baike.duguji.cn/baike/w/%E8%82%BA%E7%87%A5,,,skipped_first_source_success,,,yes,duguji
246,烦躁不宁,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%83%A6%E8%BA%81%E4%B8%8D%E5%AE%81,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
267,风湿关节痛,duguji,no_definition,https://baike.duguji.cn/baike/w/%E9%A3%8E%E6%B9%BF%E5%85%B3%E8%8A%82%E7%97%9B,raw page parsed but no definition found,dayi,not_found,,no exact symptom result in search page,no,
247,烦躁不适,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%83%A6%E8%BA%81%E4%B8%8D%E9%80%82,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
248,烦躁易怒,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%83%A6%E8%BA%81%E6%98%93%E6%80%92,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
249,烦躁谵语,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%83%A6%E8%BA%81%E8%B0%B5%E8%AF%AD,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
255,肺气不畅,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%82%BA%E6%B0%94%E4%B8%8D%E7%95%85,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
266,风湿痹痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E6%B9%BF%E7%97%B9%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
260,痱疹鲜红,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%97%B1%E7%96%B9%E9%B2%9C%E7%BA%A2,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
277,风疹瘙痒,duguji,ok,https://baike.duguji.cn/baike/w/%E9%A3%8E%E7%96%B9%E7%98%99%E7%97%92,,,skipped_first_source_success,,,yes,duguji
262,粉剌疙瘩,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%B2%89%E5%89%8C%E7%96%99%E7%98%A9,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
268,风湿疼痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E6%B9%BF%E7%96%BC%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
283,腹部不适,duguji,ok,https://baike.duguji.cn/baike/w/%E8%85%B9%E9%83%A8%E4%B8%8D%E9%80%82,,,skipped_first_source_success,,,yes,duguji
280,妇女痛经,duguji,no_definition,https://baike.duguji.cn/baike/w/%E5%A6%87%E5%A5%B3%E7%97%9B%E7%BB%8F,raw page parsed but no definition found,dayi,not_found,,no exact symptom result in search page,no,
269,风湿瘀痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E6%B9%BF%E7%98%80%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
270,风湿肢体关节痿软,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E6%B9%BF%E8%82%A2%E4%BD%93%E5%85%B3%E8%8A%82%E7%97%BF%E8%BD%AF,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
275,风眼烂弦,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E7%9C%BC%E7%83%82%E5%BC%A6,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
273,风痰瘀血痹阻脉络,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E7%97%B0%E7%98%80%E8%A1%80%E7%97%B9%E9%98%BB%E8%84%89%E7%BB%9C,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
276,风疹发红,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%A3%8E%E7%96%B9%E5%8F%91%E7%BA%A2,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
282,腹暴痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E8%85%B9%E6%9A%B4%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
