TCM_symptom_id,TCM_symptom_name,status,updated,message
379,寒性腹泻,ok,yes,
381,汗出不畅,ok,yes,
382,汗出不解,ok,yes,
383,汗少,ok,yes,
384,行步艰难,ok,yes,
385,行经腹痛,ok,yes,
386,行经小腹冷痛,ok,yes,
387,行走无力,ok,yes,
390,烘热,ok,yes,
394,喉核红肿,ok,yes,
395,喉核肿大,ok,yes,
396,喉间痰鸣,ok,yes,
397,喉痛,ok,yes,
399,喉中作响,ok,yes,
401,呼吸道出血,ok,yes,
402,呼吸气促,ok,yes,
406,黄痰,ok,yes,
407,会阴少腹腰骶部疼痛,ok,yes,
410,昏仆,ok,yes,
413,活动障碍,ok,yes,
414,肌肤红,ok,yes,
415,肌肤下肿块数处,ok,yes,
416,肌肤下肿块一处,ok,yes,
417,肌肤肿块数处,ok,yes,
418,肌肤肿块一处 推之能动,ok,yes,
419,肌肉关节酸痛,ok,yes,
420,肌肉红肿热痛,ok,yes,
421,肌肉剧痛,ok,yes,
422,肌肉麻木,ok,yes,
424,肌肉酸麻,ok,yes,
428,肌痩,ok,yes,
433,积滞内停,ok,yes,
429,肌痿无力,ok,yes,
432,积滞不消,ok,yes,
430,积聚痞块,ok,yes,
444,肩颈疼痛,ok,yes,
443,肩部疼痛重着,ok,yes,
450,僵硬畸形,ok,yes,
437,急躁易怒,ok,yes,
436,急性起并半身不遂,ok,yes,
434,积滞胀满,ok,yes,
454,脚重,ok,yes,
442,肩臂疼痛,ok,yes,
441,肩背酸痛,ok,yes,
445,肩疼痛,ok,yes,
448,舰血,ok,yes,
453,脚气浮肿,ok,yes,
464,筋骨瘀痛,ok,yes,
467,筋扭伤,ok,yes,
459,津伤,ok,yes,
458,疥癣瘙痒,ok,yes,
461,筋骨疼痛,ok,yes,
471,经初行不畅,ok,yes,
462,筋骨痿软,ok,yes,
463,筋骨无力,ok,yes,
477,经行小腹疼痛,ok,yes,
466,筋脉拘挛,ok,yes,
475,经行痛减,ok,yes,
476,经行小腹冷痛,ok,yes,
478,经行小腹喜热,ok,yes,
480,经量少有血块,ok,yes,
479,经行小腹胀痛,ok,yes,
472,经寒不调,ok,yes,
483,经前腹痛加剧,ok,yes,
474,经行量少,ok,yes,
487,经前疼痛加重,ok,yes,
490,经前胸闷,ok,yes,
491,经少色淡,ok,yes,
488,经前头痛,ok,yes,
485,经前乳胀,ok,yes,
493,经血紫暗,ok,yes,
486,经前双乳胀痛,ok,yes,
492,经水淋漓不净,ok,yes,
506,精气不足,ok,yes,
489,经前性情急躁,ok,yes,
503,惊痫不安,ok,yes,
507,精神不振,ok,yes,
510,精神忧郁,ok,yes,
495,惊风抽搐,ok,yes,
511,精溢,ok,yes,
498,惊悸不宁,ok,yes,
513,颈项活动不利,ok,yes,
512,颈肩部僵硬,ok,yes,
504,精亏,ok,yes,
514,颈项僵硬,ok,yes,
515,颈项僵直,ok,yes,
499,惊悸多梦,ok,yes,
516,颈项紧张不舒,ok,yes,
518,颈椎病型头痛,ok,yes,
517,颈项疼痛,ok,yes,
