Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000742,当归,https://www.dayi.org.cn/cmedical/300362.html,Herb_latin_name|Toxicity|Therapeutic_cn_class|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Angelicae Sinensis Radix"", ""Toxicity"": ""无毒"", ""Therapeutic_cn_class"": ""补血药"", ""UsePart"": ""根"", ""Function"": ""本品具有补血活血，调经止痛，润肠通便的功效。"", ""Indication"": ""主治血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘等。"", ""Properties"": ""味甘、辛，性温"", ""Meridians"": ""归肝、心、脾经""}"
HERB001210,当归,https://www.dayi.org.cn/cmedical/300362.html,Toxicity,"{""Toxicity"": ""无毒""}"
HERB004572,当归,https://www.dayi.org.cn/cmedical/300362.html,Toxicity|Therapeutic_cn_class|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Therapeutic_cn_class"": ""补血药"", ""UsePart"": ""根"", ""Function"": ""本品具有补血活血，调经止痛，润肠通便的功效。"", ""Indication"": ""主治血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘等。"", ""Properties"": ""味甘、辛，性温"", ""Meridians"": ""归肝、心、脾经""}"
HERB005088,当归,https://www.dayi.org.cn/cmedical/300362.html,Toxicity|Therapeutic_cn_class|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Therapeutic_cn_class"": ""补血药"", ""UsePart"": ""根"", ""Function"": ""本品具有补血活血，调经止痛，润肠通便的功效。"", ""Indication"": ""主治血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘等。"", ""Properties"": ""味甘、辛，性温"", ""Meridians"": ""归肝、心、脾经""}"
