Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000561,苍耳,https://www.dayi.org.cn/cmedical/1113870.html,Toxicity|UsePart|Function|Indication|Properties|Meridians,"{""Toxicity"": ""有小毒"", ""UsePart"": ""全草"", ""Function"": ""祛风，散热，除湿，解毒。"", ""Indication"": ""感冒，头风，头晕，鼻渊，目赤，目翳，风湿痹痛，拘挛麻木，风癞，疔疮，疥癣，皮肤瘙痒，痔疮，痢疾。"", ""Properties"": ""味苦、辛，性微寒"", ""Meridians"": ""归肺、脾、肝经""}"
HERB000553,布渣叶,https://www.dayi.org.cn/cmedical/300157.html,Herb_latin_name|UsePart|Function|Indication|Properties|Meridians,"{""Herb_latin_name"": ""Microctis Folium"", ""UsePart"": ""叶"", ""Function"": ""消食化滞，清热利湿。"", ""Indication"": ""布渣叶主要用于治疗饮食积滞，感冒发热，湿热黄疸。"", ""Properties"": ""味微酸，性凉，"", ""Meridians"": ""归脾、胃经""}"
HERB000566,蚕豆壳,https://www.dayi.org.cn/cmedical/1113857.html,UsePart|Function|Indication|Properties,"{""UsePart"": ""种皮"", ""Function"": ""利水渗湿，止血，解毒。"", ""Indication"": ""主治水肿，脚气，小便不利，吐血，胎漏，下血，天泡疮，黄水疮，瘰疬。"", ""Properties"": ""味甘、淡，性平""}"
HERB000563,蚕豆,https://www.dayi.org.cn/cmedical/1113849.html,Properties|Meridians,"{""Properties"": ""味甘、微辛，性平，"", ""Meridians"": ""归脾、胃经""}"
HERB000577,苍耳,https://www.dayi.org.cn/cmedical/1113870.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""有小毒"", ""Properties"": ""味苦、辛，性微寒"", ""Meridians"": ""归肺、脾、肝经""}"
HERB000568,蚕茧,https://www.dayi.org.cn/cmedical/1118000.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味甘，性温，"", ""Meridians"": ""归肝、胃经""}"
HERB000570,蚕沙,https://www.dayi.org.cn/cmedical/300158.html,Herb_latin_name|UsePart|Function|Properties|Meridians,"{""Herb_latin_name"": ""Bombycis Faeces"", ""UsePart"": ""幼虫的粪便"", ""Function"": ""祛风除湿，和胃化湿。"", ""Properties"": ""性温，味甘、辛，"", ""Meridians"": ""归肝、脾、胃经""}"
HERB000571,蝉蜕,https://www.dayi.org.cn/cmedical/300169.html,UsePart|Indication,"{""UsePart"": ""皮壳"", ""Indication"": ""主要用于风热感冒，咽痛音哑，麻疹不透，风疹瘙痒，目赤翳障，惊风抽搐，破伤风。""}"
HERB000578,苍耳根,https://www.dayi.org.cn/cmedical/1113865.html,Toxicity|UsePart|Function|Indication|Properties,"{""Toxicity"": ""有小毒"", ""UsePart"": ""根"", ""Function"": ""清热解毒，利湿。"", ""Indication"": ""疔疮，痈疽，丹毒，缠喉风，阑尾炎，宫颈炎，痢疾，肾炎水肿，乳糜尿，风湿痹痛。"", ""Properties"": ""味微苦，性平""}"
HERB000580,苍耳子,https://www.dayi.org.cn/cmedical/300159.html,UsePart,"{""UsePart"": ""果实""}"
HERB000588,草苁蓉,https://www.dayi.org.cn/cmedical/1113879.html,Herb_latin_name|UsePart|Function|Properties|Meridians,"{""Herb_latin_name"": ""Herba Boschniakiae Rossicae"", ""UsePart"": ""全草"", ""Function"": ""补肾壮阳，润肠通便，止血。"", ""Properties"": ""味甘、咸，性温"", ""Meridians"": ""归肾、大肠经""}"
