Herb_ID,Herb_cn_name,status,detail_url,reason
HERB005080,石楠藤,not_found,,no exact cmedical result in search page
HERB005084,十蕊商陆,not_found,,no exact cmedical result in search page
HERB005089,石刷把,no_fields,https://www.dayi.org.cn/cmedical/303543.html,detail page parsed but no mapped fields found
HERB005087,金丝桃,no_fields,https://www.dayi.org.cn/cmedical/1114660.html,detail page parsed but no mapped fields found
HERB005090,石霜,no_fields,https://www.dayi.org.cn/cmedical/303544.html,detail page parsed but no mapped fields found
HERB005094,石香薷,not_found,,no exact cmedical result in search page
HERB005098,石岩枫,not_found,,no exact cmedical result in search page
HERB005096,食盐,no_fields,https://www.dayi.org.cn/cmedical/1117784.html,detail page parsed but no mapped fields found
HERB005100,食叶草,not_found,,no exact cmedical result in search page
HERB005101,匙叶甘松,not_found,,no exact cmedical result in search page
HERB005103,食用葛,not_found,,no exact cmedical result in search page
HERB005108,石竹,not_found,,no exact cmedical result in search page
