Herb_ID,Herb_cn_name,status,detail_url,reason
HERB005468,天山棱子芹?,not_found,,no exact cmedical result in search page
HERB005469,天山秦艽,not_found,,no exact cmedical result in search page
HERB005472,天山竹子,not_found,,no exact cmedical result in search page
HERB005473,甜舌草,not_found,,no exact cmedical result in search page
HERB005475,天仙果,not_found,,no exact cmedical result in search page
HERB005476,天仙藤,not_found,,no exact cmedical result in search page
HERB005477,天仙子,not_found,,no exact cmedical result in search page
HERB005487,条浒苔,not_found,,no exact cmedical result in search page
HERB005489,条裂黄堇,not_found,,no exact cmedical result in search page
HERB005490,条纹穿心莲,not_found,,no exact cmedical result in search page
HERB005491,条纹龙舌兰,not_found,,no exact cmedical result in search page
HERB005488,调经草,no_fields,https://www.dayi.org.cn/cmedical/1115252.html,detail page parsed but no mapped fields found
HERB005493,条叶蓟,not_found,,no exact cmedical result in search page
HERB005492,条纹鼠尾草,not_found,,no exact cmedical result in search page
HERB005496,铁刀木,not_found,,no exact cmedical result in search page
HERB005495,铁棒锤叶,not_found,,no exact cmedical result in search page
HERB005503,铁片,not_found,,no exact cmedical result in search page
HERB005504,铁破锣,no_fields,https://www.dayi.org.cn/cmedical/304067.html,detail page parsed but no mapped fields found
HERB005502,铁皮石斛,no_fields,https://www.dayi.org.cn/cmedical/1115619.html,detail page parsed but no mapped fields found
HERB005506,铁生千里光,not_found,,no exact cmedical result in search page
HERB005508,铁丝威灵仙,not_found,,no exact cmedical result in search page
HERB005512,铁屑,not_found,,no exact cmedical result in search page
HERB005505,铁色箭,no_fields,https://www.dayi.org.cn/cmedical/304071.html,detail page parsed but no mapped fields found
HERB005513,铁锈色黄檀,not_found,,no exact cmedical result in search page
HERB005515,铁子,not_found,,no exact cmedical result in search page
HERB005516,廷胡,not_found,,no exact cmedical result in search page
HERB005517,廷胡索,not_found,,no exact cmedical result in search page
HERB005518,挺茎遍地金,not_found,,no exact cmedical result in search page
HERB005519,葶苈子,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304088.html,matched page but target columns already had values
HERB005522,童便,no_fields,https://www.dayi.org.cn/cmedical/1156130.html,detail page parsed but no mapped fields found
HERB005532,山楂,no_fields,https://www.dayi.org.cn/cmedical/303334.html,detail page parsed but no mapped fields found
HERB005530,潼蒺藜,not_found,,no exact cmedical result in search page
HERB005529,通花花,no_fields,https://www.dayi.org.cn/cmedical/304097.html,detail page parsed but no mapped fields found
HERB005531,银耳蕨,not_found,,no exact cmedical result in search page
HERB005535,铜金鸡纳,not_found,,no exact cmedical result in search page
HERB005534,筒鞘蛇菰,not_found,,no exact cmedical result in search page
HERB005536,通脱木,not_found,,no exact cmedical result in search page
HERB005539,守宫木,not_found,,no exact cmedical result in search page
HERB005537,通脱木花上粉,no_fields,https://www.dayi.org.cn/cmedical/304104.html,detail page parsed but no mapped fields found
HERB005543,头花龙胆,not_found,,no exact cmedical result in search page
HERB005544,透明唐松草,not_found,,no exact cmedical result in search page
HERB005545,头序楤木,not_found,,no exact cmedical result in search page
HERB005547,土百部,no_fields,https://www.dayi.org.cn/cmedical/304153.html,detail page parsed but no mapped fields found
HERB005556,兔儿风花蟹甲草,not_found,,no exact cmedical result in search page
HERB005557,土耳其翠雀花,not_found,,no exact cmedical result in search page
HERB005559,土耳其斯坦白腊树,not_found,,no exact cmedical result in search page
HERB005560,土耳其斯坦龙胆,not_found,,no exact cmedical result in search page
HERB005561,土耳其雪花莲,not_found,,no exact cmedical result in search page
HERB005558,土耳其鼠尾草,not_found,,no exact cmedical result in search page
HERB005562,土耳其郁金香,not_found,,no exact cmedical result in search page
HERB005565,吐根,not_found,,no exact cmedical result in search page
HERB005566,土瓜狼毒,not_found,,no exact cmedical result in search page
HERB005567,土黄莲,not_found,,no exact cmedical result in search page
HERB005570,土苦参,not_found,,no exact cmedical result in search page
HERB005573,秃毛冬青,not_found,,no exact cmedical result in search page
HERB005572,土良姜,no_fields,https://www.dayi.org.cn/cmedical/304187.html,detail page parsed but no mapped fields found
HERB005574,土木香,no_fields,https://www.dayi.org.cn/cmedical/304194.html,detail page parsed but no mapped fields found
HERB005576,土羌活,no_fields,https://www.dayi.org.cn/cmedical/304199.html,detail page parsed but no mapped fields found
HERB005581,吐温80,not_found,,no exact cmedical result in search page
HERB005584,土叶黄皮树,not_found,,no exact cmedical result in search page
HERB005583,土延胡,not_found,,no exact cmedical result in search page
HERB005585,团花山矾,not_found,,no exact cmedical result in search page
HERB005586,团级艾纳香,not_found,,no exact cmedical result in search page
HERB005589,豚草,not_found,,no exact cmedical result in search page
HERB005588,退热止泻木,not_found,,no exact cmedical result in search page
HERB005590,豚草千里光,not_found,,no exact cmedical result in search page
HERB005591,豚草紫菀,not_found,,no exact cmedical result in search page
HERB005596,椭圆三七草,not_found,,no exact cmedical result in search page
HERB005595,椭圆钩藤,not_found,,no exact cmedical result in search page
HERB005598,椭圆叶乳香树,not_found,,no exact cmedical result in search page
HERB005597,椭圆叶花椒,not_found,,no exact cmedical result in search page
HERB005600,瓦布贝母,not_found,,no exact cmedical result in search page
HERB005599,椭圆舟形藻,not_found,,no exact cmedical result in search page
HERB005604,蛙式独活,not_found,,no exact cmedical result in search page
HERB005605,瓦氏马尾藻,not_found,,no exact cmedical result in search page
HERB005607,瓦氏棕榈,not_found,,no exact cmedical result in search page
HERB005610,瓦苇,not_found,,no exact cmedical result in search page
HERB005613,晚蚕砂,not_found,,no exact cmedical result in search page
HERB005616,万华泽兰,not_found,,no exact cmedical result in search page
HERB005609,瓦松,no_fields,https://www.dayi.org.cn/cmedical/304256.html,detail page parsed but no mapped fields found
HERB005620,弯曲千里光,not_found,,no exact cmedical result in search page
HERB005621,弯曲天门冬,not_found,,no exact cmedical result in search page
HERB005622,弯曲天南星,not_found,,no exact cmedical result in search page
HERB005614,豌豆,no_fields,https://www.dayi.org.cn/cmedical/304262.html,detail page parsed but no mapped fields found
HERB005625,万山淫羊藿,not_found,,no exact cmedical result in search page
HERB005636,乌头,not_found,,no exact cmedical result in search page
HERB005633,弯叶黄芪,not_found,,no exact cmedical result in search page
HERB005638,玉兰,not_found,,no exact cmedical result in search page
HERB005639,网地藻,not_found,,no exact cmedical result in search page
HERB005643,王浆,not_found,,no exact cmedical result in search page
HERB005640,王瓜,no_fields,https://www.dayi.org.cn/cmedical/304283.html,detail page parsed but no mapped fields found
HERB005656,围栏球果紫堇,not_found,,no exact cmedical result in search page
HERB005653,薇甘菊泽兰?,not_found,,no exact cmedical result in search page
HERB005658,委陵菜,no_fields,https://www.dayi.org.cn/cmedical/304309.html,detail page parsed but no mapped fields found
HERB005660,卫矛堆心菊,not_found,,no exact cmedical result in search page
HERB005645,望江南子,no_fields,https://www.dayi.org.cn/cmedical/304295.html,detail page parsed but no mapped fields found
HERB005668,微笑万寿菊,not_found,,no exact cmedical result in search page
HERB005672,尾叶香茶菜,not_found,,no exact cmedical result in search page
HERB005659,威灵仙,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304299.html,matched page but target columns already had values
HERB005686,卧茎夜来香,not_found,,no exact cmedical result in search page
HERB005697,无莿根,no_fields,https://www.dayi.org.cn/cmedical/1115709.html,detail page parsed but no mapped fields found
HERB005705,无梗五加皮,not_found,,no exact cmedical result in search page
HERB005702,武当木兰,not_found,,no exact cmedical result in search page
HERB005716,乌鸡,not_found,,no exact cmedical result in search page
HERB005714,无患子树蔃,not_found,,no exact cmedical result in search page
HERB005718,五加前胡,not_found,,no exact cmedical result in search page
HERB005720,芜菁甘蓝,not_found,,no exact cmedical result in search page
HERB005715,无患子叶,no_fields,https://www.dayi.org.cn/cmedical/304414.html,detail page parsed but no mapped fields found
HERB005717,五加皮,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304455.html,matched page but target columns already had values
HERB005725,舞剧淫羊藿,not_found,,no exact cmedical result in search page
HERB005727,乌克兰下页水仙,not_found,,no exact cmedical result in search page
HERB005731,乌敛莓,not_found,,no exact cmedical result in search page
HERB005729,五角番泻树,not_found,,no exact cmedical result in search page
HERB005733,乌龙茶,not_found,,no exact cmedical result in search page
HERB005722,乌桕木根皮,no_fields,https://www.dayi.org.cn/cmedical/304355.html,detail page parsed but no mapped fields found
HERB005734,五楼子,not_found,,no exact cmedical result in search page
HERB005738,无毛蒿,not_found,,no exact cmedical result in search page
HERB005739,五毛菊,not_found,,no exact cmedical result in search page
HERB005735,五脉百里香,not_found,,no exact cmedical result in search page
HERB005744,乌泡子,not_found,,no exact cmedical result in search page
HERB005740,无毛山楂,not_found,,no exact cmedical result in search page
HERB005741,无毛无根藤,not_found,,no exact cmedical result in search page
HERB005742,乌梅,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304372.html,matched page but target columns already had values
HERB005750,乌梢蛇,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/304376.html,matched page but target columns already had values
HERB005749,巫山淫羊藿,no_fields,https://www.dayi.org.cn/cmedical/1155839.html,detail page parsed but no mapped fields found
HERB005755,梧桐根,not_found,,no exact cmedical result in search page
HERB005759,乌头,not_found,,no exact cmedical result in search page
