Herb_ID,Herb_cn_name,chp_detail_url,dayi_detail_url,chp_filled_fields,dayi_filled_fields,filled_values
HERB005088,当归,https://ydz.chp.org.cn/#/item?bookId=1&entryId=204,https://www.dayi.org.cn/cmedical/300362.html,UsePart|Properties|Meridians|Function|Indication,Toxicity|Therapeutic_cn_class,"{""UsePart"": ""根"", ""Properties"": ""甘、辛，温"", ""Meridians"": ""归肝、心、脾经"", ""Function"": ""补血活血，调经止痛，润肠通便"", ""Indication"": ""用于血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘。酒当归活血通经。用于经闭痛经，风湿痹痛，跌扑损伤。"", ""Toxicity"": ""无毒"", ""Therapeutic_cn_class"": ""补血药""}"
HERB005092,石韦,https://ydz.chp.org.cn/#/item?bookId=1&entryId=131,,Herb_latin_name|UsePart|Properties|Meridians|Function,,"{""Herb_latin_name"": ""PYRROSIAE FOLIUM"", ""UsePart"": ""叶"", ""Properties"": ""甘、苦，微寒"", ""Meridians"": ""归肺、膀胱经"", ""Function"": ""利尿通淋，清肺止咳，凉血止血""}"
HERB005115,手掌参,,https://www.dayi.org.cn/cmedical/303585.html,,Properties|Meridians,"{""Properties"": ""味甘，性平，"", ""Meridians"": ""归肺、脾、胃经""}"
HERB005121,束花石斛,,https://www.dayi.org.cn/cmedical/1115171.html,,Properties,"{""Properties"": ""味甘、淡、微咸，性寒""}"
HERB005124,蜀葵花,,https://www.dayi.org.cn/cmedical/303596.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒《别录》"", ""Properties"": ""味甘、咸，性凉。"", ""Meridians"": ""归肝、大肠经、小肠经""}"
HERB005118,熟地黄,,https://www.dayi.org.cn/cmedical/1115491.html,,Toxicity,"{""Toxicity"": ""无毒""}"
HERB005099,柿叶,,https://www.dayi.org.cn/cmedical/303577.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味苦，性寒"", ""Meridians"": ""归肺经""}"
HERB005126,鼠李,,https://www.dayi.org.cn/cmedical/303607.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""小毒《新修本草》"", ""Properties"": ""味苦、甘，性凉。"", ""Meridians"": ""归肝、肾经""}"
HERB005135,鼠尾草,,https://www.dayi.org.cn/cmedical/303614.html,,Toxicity|UsePart|Function|Indication|Properties,"{""Toxicity"": ""无毒"", ""UsePart"": ""全草"", ""Function"": ""清热利湿，活血调经，解毒消肿。"", ""Indication"": ""黄疸、赤白下痢，湿热带下，月经不调，痛经，疮疡疖肿，跌打损伤。"", ""Properties"": ""味苦、辛，性平""}"
HERB005132,鼠曲草,,https://www.dayi.org.cn/cmedical/303610.html,,UsePart|Function|Properties|Meridians,"{""UsePart"": ""全草"", ""Function"": ""化痰止咳，祛风除湿，解毒。"", ""Properties"": ""味甘、微酸，性平，"", ""Meridians"": ""归肺经""}"
HERB005109,柿子,,https://www.dayi.org.cn/cmedical/303578.html,,Properties|Meridians,"{""Properties"": ""味甘、涩，性凉。"", ""Meridians"": ""归心、肺、大肠经""}"
HERB005134,树舌,,https://www.dayi.org.cn/cmedical/303632.html,,Properties|Meridians,"{""Properties"": ""味微苦，性平。"", ""Meridians"": ""归脾、胃经""}"
HERB005162,水飞蓟,https://ydz.chp.org.cn/#/item?bookId=1&entryId=119,https://www.dayi.org.cn/cmedical/303664.html,Herb_latin_name|Properties|Meridians|Function,Toxicity,"{""Herb_latin_name"": ""SILYBI FRUCTUS"", ""Properties"": ""苦，凉"", ""Meridians"": ""归肝、胆经"", ""Function"": ""清热解毒，疏肝利胆"", ""Toxicity"": ""无毒""}"
HERB005165,水红花子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=121,https://www.dayi.org.cn/cmedical/303674.html,UsePart|Properties|Meridians,,"{""UsePart"": ""成熟果实"", ""Properties"": ""咸，微寒"", ""Meridians"": ""归肝、胃经""}"
HERB005166,水葫芦,,https://www.dayi.org.cn/cmedical/1115175.html,,Properties|Meridians,"{""Properties"": ""味辛、淡，性凉，"", ""Meridians"": ""归肺、胃、膀胱经""}"
HERB005177,水流豆,,https://www.dayi.org.cn/cmedical/303705.html,,Toxicity|Properties|Meridians,"{""Toxicity"": ""小毒"", ""Properties"": ""味苦，性寒。"", ""Meridians"": ""归肺经""}"
HERB005163,水甘草,,https://www.dayi.org.cn/cmedical/303667.html,,Properties,"{""Properties"": ""味甘，性凉""}"
HERB005173,水晶兰,,https://www.dayi.org.cn/cmedical/303695.html,,Properties|Meridians,"{""Properties"": ""味甘，性平。"", ""Meridians"": ""归肺经""}"
HERB005161,水朝阳,,https://www.dayi.org.cn/cmedical/1115198.html,,Properties,"{""Properties"": ""水朝阳草：味辛、甘，性温。 水朝阳花：味苦、咸，性微温""}"
HERB005185,水芹,,https://www.dayi.org.cn/cmedical/303733.html,,Properties|Meridians,"{""Properties"": ""味辛、甘，性凉"", ""Meridians"": ""归肺、肝、膀胱经""}"
HERB005169,水茴香,,https://www.dayi.org.cn/cmedical/303685.html,,Properties|Meridians,"{""Properties"": ""味辛、甘，性温"", ""Meridians"": ""归肺、脾、胃经""}"
HERB005183,水牛角,https://ydz.chp.org.cn/#/item?bookId=1&entryId=120,https://www.dayi.org.cn/cmedical/303724.html,Properties|Meridians,,"{""Properties"": ""苦，寒"", ""Meridians"": ""归心、肝经""}"
HERB005172,水金凤,,https://www.dayi.org.cn/cmedical/303692.html,,Indication|Properties|Meridians,"{""Indication"": ""用于月经不调，痛经，经闭，跌打损伤，风湿痹痛，脚气肿痛，阴囊湿疹，癣疮，癞疮。"", ""Properties"": ""味甘，性温。"", ""Meridians"": ""归肺、肝经""}"
