Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB001969,关黄柏,https://ydz.chp.org.cn/#/item?bookId=1&entryId=225,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""PHELLODENDRI AMURENSIS CORTEX"", ""UsePart"": ""树皮"", ""Properties"": ""苦，寒"", ""Meridians"": ""归肾、膀胱经"", ""Function"": ""清热燥湿，泻火除蒸，解毒疗疮"", ""Indication"": ""用于湿热泻痢，黄疸尿赤，带下阴痒，热淋涩痛，脚气痿躄，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹湿疮。盐关黄柏滋阴降火。用于阴虚火旺，盗汗骨蒸。""}"
HERB001981,贯叶金丝桃,https://ydz.chp.org.cn/#/item?bookId=1&entryId=358,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""HYPERICI PERFORATI HERBA"", ""UsePart"": ""地上部分"", ""Properties"": ""辛，寒"", ""Meridians"": ""归肝经"", ""Function"": ""疏肝解郁，清热利湿，消肿通乳"", ""Indication"": ""用于肝气郁结，情志不畅，心胸郁闷，关节肿痛，乳痈，乳少。""}"
HERB002002,广藿香,https://ydz.chp.org.cn/#/item?bookId=1&entryId=62,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""POGOSTEMONIS HERBA"", ""UsePart"": ""地上部分"", ""Properties"": ""辛，微温"", ""Meridians"": ""归脾、胃、肺经"", ""Function"": ""芳香化浊，和中止呕，发表解暑""}"
HERB002007,广金钱草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=61,Properties|Meridians,"{""Properties"": ""甘、淡，凉"", ""Meridians"": ""归肝、肾、膀胱经""}"
HERB002040,广枣,https://ydz.chp.org.cn/#/item?bookId=1&entryId=60,UsePart,"{""UsePart"": ""成熟果实""}"
HERB002182,鹤虱,https://ydz.chp.org.cn/#/item?bookId=1&entryId=599,UsePart,"{""UsePart"": ""成熟果实""}"
HERB002172,合欢花,https://ydz.chp.org.cn/#/item?bookId=1&entryId=222,Properties|Meridians,"{""Properties"": ""甘，平"", ""Meridians"": ""归心、肝经""}"
HERB002189,核桃仁,https://ydz.chp.org.cn/#/item?bookId=1&entryId=439,Properties|Meridians,"{""Properties"": ""甘，温"", ""Meridians"": ""归肾、肺、大肠经""}"
HERB002209,黑豆,https://ydz.chp.org.cn/#/item?bookId=1&entryId=547,Function|Indication,"{""Function"": ""益精明目，养血祛风，利水，解毒"", ""Indication"": ""用于阴虚烦渴，头晕目昏，体虚多汗，肾虚腰痛，水肿尿少，痹痛拘挛，手足麻木，药食中毒。""}"
HERB002267,红粉,https://ydz.chp.org.cn/#/item?bookId=1&entryId=238,Properties|Meridians,"{""Properties"": ""辛，热；有大毒"", ""Meridians"": ""归肺、脾经""}"
HERB002263,红豆蔻,https://ydz.chp.org.cn/#/item?bookId=1&entryId=236,Properties|Meridians,"{""Properties"": ""辛，温"", ""Meridians"": ""归脾、肺经""}"
HERB002280,红花龙胆,https://ydz.chp.org.cn/#/item?bookId=1&entryId=233,Properties|Meridians,"{""Properties"": ""苦，寒"", ""Meridians"": ""归肝、胆经""}"
HERB002294,红景天,https://ydz.chp.org.cn/#/item?bookId=1&entryId=239,Indication,"{""Indication"": ""用于气虚血瘀，胸痹心痛，中风偏瘫，倦怠气喘。""}"
