Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS001989	Multiple Epiphyseal Dysplasia	Osteochondrodysplasias; Spondyloepiphyseal Dysplasia Tarda, X-Linked; Schwartz-Jampel Syndrome; Melnick-Needles Syndrome; Multiple Epiphyseal Dysplasia; Dyschondroplasias; Spondyloepiphyseal Dysplasia; Van Buchem Disease; Schwartz-Jampel Syndrome, Type 1	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	Abnormality of the skeletal system	disease of anatomical entity	T019	C05; C16	HP:0000924	DOID:7	C0026760	D010009	HP:0002654	12721	NA	NA
HBDIS001990	Multiple Myeloma	Myeloma, Multiple; Al Amyloidosis; Multiple Myeloma; Plasmocytoma; Kahler'S Disease	disease	Neoplastic Process	Cardiovascular Diseases; Immune System Diseases; Neoplasms; Hemic and Lymphatic Diseases	Abnormality of blood and blood-forming tissues; Neoplasm	disease of anatomical entity; disease of cellular proliferation	T191	C04; C15; C14; C20	HP:0001871; HP:0002664	DOID:14566; DOID:7	C0026764	D009101	HP:0006775	9538	C90.0	254500
HBDIS001991	Multiple Organ Failure	Multiple Organ Failure	phenotype	Pathologic Function	Pathological Conditions, Signs and Symptoms	NA	NA	T046	C23	NA	NA	C0026766	D009102	NA	NA	NA	NA
HBDIS001992	Multiple Sclerosis	Multiple Sclerosis, Acute Fulminating; Multiple Sclerosis	disease	Disease or Syndrome	Immune System Diseases; Nervous System Diseases	NA	disease of anatomical entity	T047	C10; C20	NA	DOID:7	C0026769	D009103	NA	2377	G35	NA
HBDIS001993	Dissociative Identity Disorder	Multiple Personality Disorder; Dissociative Identity Disorder	disease	Mental or Behavioral Dysfunction	Mental Disorders	NA	disease of mental health	T048	F03	NA	DOID:150	C0026773	D009105	NA	10934	NA	NA
HBDIS001994	Mumps	Mumps	disease	Disease or Syndrome	Stomatognathic Diseases; Infections	NA	disease of anatomical entity; disease by infectious agent	T047	C01; C07	NA	DOID:0050117; DOID:7	C0026780	D009107	NA	10264	B26	NA
HBDIS001995	Muscle Cramp	Muscle Cramps; Muscle Cramp	phenotype	Sign or Symptom	Musculoskeletal Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the musculature	NA	T184	C05; C10; C23	HP:0003011	NA	C0026821	D009120	HP:0003394	NA	NA	NA
HBDIS001996	Flaccid Muscle Tone	Muscle Tone Atonic; Unilateral Hypotonia; Muscle Hypotonia; Floppy Muscles; Muscle Flaccidity; Neonatal Hypotonia; Hypotonia, Muscle; Flaccid Muscle Tone	phenotype	Sign or Symptom	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the musculature	NA	T184	C10; C23	HP:0003011	NA	C0026825	D009123	HP:0010547	NA	NA	NA
HBDIS001997	Muscle Hypertonia	Hypertonia, Neonatal; Increased Muscle Tone; Muscle Hypertonia; Hypertonia; Hypertonia, Detrusor Muscle; Hypertonia, Infantile; Hypertonicity; Hypertonia, Sphincter; Hypertonia, Transient	phenotype	Finding	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the musculature; Abnormality of the nervous system	NA	T033	C10; C23	HP:0003011; HP:0000707	NA	C0026826	D009122	HP:0001276	NA	NA	NA
HBDIS001998	Muscle Hypotonia	Muscle Tone Atonic; Muscular Hypotonia; Low Or Weak Muscle Tone; Unilateral Hypotonia; Muscle Hypotonia; Floppy Muscles; Neonatal Hypotonia; Hypotonia, Muscle; Flaccid Muscle Tone	phenotype	Finding	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the musculature	NA	T033	C10; C23	HP:0003011	NA	C0026827	D009123	HP:0001252	NA	NA	NA
