Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS000001	Abdomen, Acute	Acute Abdomen; Abdomen, Acute	phenotype	Sign or Symptom	Pathological Conditions, Signs and Symptoms	NA	NA	T184	C23	NA	NA	C0000727	D000006	NA	NA	R10.0	NA
HBDIS000002	Abdominal Cramps	Infantile Colic; Colic; Abdominal Cramps	phenotype	Sign or Symptom	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T184	C16	NA	NA	C0000729	D003085	NA	NA	NA	NA
HBDIS000003	Abdomen Distended	Distended Abdomen; Belly Bloating; Bloating; Abdominal Distention; Abdominal Bloating; Abdominal Distension; Abdominal Swelling	phenotype	Finding	Digestive System Diseases	Abnormality of the digestive system	NA	T033	C06	HP:0025031	NA	C0000731	NA	HP:0003270	NA	NA	NA
HBDIS000004	Abdominal Mass	Abdominal Mass	phenotype	Finding	Digestive System Diseases	Abnormality of the digestive system	NA	T033	C06	HP:0025031	NA	C0000734	NA	HP:0031500	NA	NA	NA
HBDIS000005	Abdominal Neoplasms	Abdominal Neoplasms	group	Neoplastic Process	Neoplasms	NA	NA	T191	C04	NA	NA	C0000735	D000008	NA	NA	NA	NA
HBDIS000006	Abdominal Pain	Gastrointestinal Pain; Abdominal Pain; Colicky Pain; Abdominal Discomfort; Pain In Stomach; Gastro Pain; Stomach Pain	phenotype	Sign or Symptom	Pathological Conditions, Signs and Symptoms	Constitutional symptom; Abnormality of the digestive system	NA	T184	C23	HP:0025031; HP:0025142	NA	C0000737	D015746	HP:0002027	NA	NA	NA
HBDIS000007	Abetalipoproteinemia	Tangier Disease; Hypolipoproteinemia; Norum Disease; Abetalipoproteinemia	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	genetic disease; disease of metabolism	T047	C16; C18	HP:0001939	DOID:0014667; DOID:630	C0000744	D000012	HP:0008181	1391; 1388; 1387; 1386	NA	200100
HBDIS000008	Congenital Abnormality	Congenital Malformation, Unspecified; Congenital Abnormality; Congenital Abnormalities	group	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T019	C16	NA	NA	C0000768	D000013	NA	NA	Q89.9	NA
HBDIS000009	Abnormalities, Drug-Induced	Abnormalities, Drug-Induced	group	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T019	C16	NA	NA	C0000771	D000014	NA	NA	NA	NA
HBDIS000010	Multiple Congenital Anomalies	Abnormalities, Multiple	group	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T019	C16	NA	NA	C0000772	D000015	NA	NA	NA	NA
HBDIS000011	Spontaneous Abortion	Abortion, Spontaneous; Abortion, Tubal; Miscarriage; Spontaneous Abortion; Early Pregnancy Loss	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	Abnormality of prenatal development or birth	NA	T046	C13	HP:0001197	NA	C0000786	D000022	HP:0005268	NA	O03	NA
HBDIS000012	Abortion, Habitual	Abortion, Habitual; Habitual Aborter	disease	Disease or Syndrome	Female Urogenital Diseases and Pregnancy Complications	NA	NA	T047	C13	NA	NA	C0000809	D000026	NA	NA	N96	NA
HBDIS000013	Threatened Abortion	Abortion, Threatened; Threatened Abortion; Placental Abruption	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	NA	disease of anatomical entity	T046	C13	NA	DOID:7	C0000821	D000033	NA	9667	O20.0	NA
HBDIS000014	Abortion, Tubal	Abortion, Spontaneous; Abortion, Tubal; Early Pregnancy Loss; Miscarriage	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	NA	NA	T046	C13	NA	NA	C0000822	D000022	NA	NA	NA	NA
HBDIS000015	Abruptio Placentae	Premature Separation of Placenta [Abruptio Placentae]; Placental Abruption; Premature Separation of Placenta, Unspecified; Abruptio Placentae	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	Abnormality of prenatal development or birth	disease of anatomical entity	T046	C13	HP:0001197	DOID:7	C0000832	D000037	HP:0011419	9667	O45.9; O45	NA
HBDIS000016	Abscess	Abscess	phenotype	Disease or Syndrome	Infections; Pathological Conditions, Signs and Symptoms	NA	NA	T047	C01; C23	NA	NA	C0000833	D000038	NA	NA	NA	NA
HBDIS000017	Agenesis	Agenesis; Birth Defects; Atresia; Congenital Defects	disease	Congenital Abnormality	NA	NA	NA	T019	NA	NA	NA	C0000846	Q000002	NA	NA	NA	NA
HBDIS000018	Acanthamoeba Keratitis	Acanthamoeba Keratitis	disease	Disease or Syndrome	Eye Diseases; Infections	NA	NA	T047	C01; C11	NA	NA	C0000880	D015823	NA	NA	NA	NA
HBDIS000019	Acantholysis	Acantholysis	phenotype	Pathologic Function	Skin and Connective Tissue Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the integument	NA	T046	C17; C23	HP:0001574	NA	C0000887	D000051	HP:0100792	NA	NA	NA
HBDIS000020	Acanthosis Nigricans	Acanthosis Nigricans; Keratosis Nigricans; Darkened And Thickened Skin	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	Abnormality of the integument	disease of anatomical entity	T047	C17	HP:0001574	DOID:7	C0000889	D000052	HP:0000956	3138	L83	100600
HBDIS000021	Accidental Falls	Accidental Falls	phenotype	Injury or Poisoning	NA	NA	NA	T037	NA	NA	NA	C0000921	D000058	NA	NA	NA	NA
HBDIS000022	Achlorhydria	Achlorhydria	phenotype	Pathologic Function	Digestive System Diseases; Nutritional and Metabolic Diseases	NA	NA	T046	C06; C18	NA	NA	C0001075	D000126	NA	NA	NA	NA
HBDIS000023	Achondrogenesis	Achondrogenesis	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	NA	T019	C05; C16	NA	NA	C0001079	C579878	NA	NA	Q77.0	NA
HBDIS000024	Achondroplasia	Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans; Achondroplasia; Saddan; Hypochondroplasia	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	disease of anatomical entity; genetic disease	T019	C05; C16	NA	DOID:7; DOID:630	C0001080	D000130	NA	4480; 111158; 80041	Q77.4	100800
HBDIS000025	Acidosis	Acidemia; Lactic Acidosis; Acidosis, Metabolic; Acidosis	phenotype	Pathologic Function	Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	disease of metabolism	T046	C18	HP:0001939	DOID:0014667	C0001122	D000138	HP:0001941	3650	E87.2	NA
HBDIS000026	Acidosis, Lactic	Lactic Acidosis; Hyperlacticacidemia; Acidosis, Lactic; Lacticacidosis; Lactic Acidemia; Increased Lactate In Body; Lacticacidemia	phenotype	Disease or Syndrome	Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	disease of metabolism	T047	C18	HP:0001939	DOID:0014667	C0001125	D000140	HP:0003128	3650	NA	NA
HBDIS000027	Renal Tubular Acidosis	Distal Renal Tubular Acidosis; Renal Tubular Acidosis, Type Ii; Renal Tubular Acidosis; Acidosis, Renal Tubular	phenotype	Disease or Syndrome	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system	disease of anatomical entity	T047	C12; C16; C18; C13	HP:0000119; HP:0001939	DOID:7	C0001126	D000141	HP:0001947	14219	NA	NA
HBDIS000028	Acidosis, Respiratory	Lactic Acidosis; Respiratory Acidosis; Acidosis, Respiratory	phenotype	Disease or Syndrome	Respiratory Tract Diseases; Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	disease of metabolism	T047	C08; C18	HP:0001939	DOID:0014667	C0001127	D000142	HP:0005972	3650	NA	NA
HBDIS000029	Acinetobacter Infections	Acinetobacter Infections	group	Disease or Syndrome	Infections	NA	NA	T047	C01	NA	NA	C0001139	D000151	NA	NA	NA	NA
HBDIS000030	Acne Vulgaris	Acne; Acne Vulgaris	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	NA	disease of anatomical entity	T047	C17	NA	DOID:7	C0001144	D000152	NA	6543	L70.0	NA
HBDIS000031	Acne Keloid	Acne Keloid	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	NA	NA	T047	C17	NA	NA	C0001145	D000153	NA	NA	L73.0	NA
HBDIS000032	Acquired Immunodeficiency Syndrome	Acquired Immunodeficiency Syndrome; Human Immunodeficiency Virus Infectious Disease	group	Disease or Syndrome	Immune System Diseases; Infections	NA	disease by infectious agent	T047	C01; C20	NA	DOID:0050117	C0001175	D000163	NA	526; 635	NA	NA
HBDIS000033	Apert Syndrome	Sakati-Nyhan Syndrome; Apert Syndrome; Orofaciodigital Syndrome X; Syndrome, Apert; Warburg Micro Syndrome 4; Goldenhar Syndrome; Fraser Syndrome; Warburg Micro Syndrome 1; Warburg Micro Syndrome 2; Branchiootic Syndrome; Orofaciodigital Syndrome I; Pfeiffer Syndrome; Baraitser-Winter Syndrome; Acrocephalosyndactylia; Apert-Crouzon Disease; Weissenbacher-Zweymuller Syndrome; Warburg Micro Syndrome 3; Saethre-Chotzen Syndrome; Mobius Syndrome	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	disease of anatomical entity; genetic disease; syndrome	T019	C05; C16	NA	DOID:7; DOID:225; DOID:630	C0001193	D000168	NA	12960; 60359; 60229; 13501; 60232; 110716; 4258; 110717; 110718; 60380; 60316; 90001; 110719; 2907	NA	101200
HBDIS000034	Acrodermatitis	Acrodermatitis; Gianotti-Crosti Syndrome	disease	Disease or Syndrome	Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity	T047	C16; C17	NA	DOID:7	C0001197	D000169	NA	2722	NA	NA
HBDIS000035	Acrokeratosis	Acrokeratosis; Acral Keratosis	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	Abnormality of the integument	NA	T047	C17	HP:0001574	NA	C0001202	NA	HP:0200016	NA	NA	NA
HBDIS000036	Acromegaly	Acromegalic Growth; Growth Hormone Excess; Acral Hypertrophy; Acromegaly	disease	Disease or Syndrome	Endocrine System Diseases; Nervous System Diseases; Musculoskeletal Diseases	Abnormality of the nervous system; Abnormality of the endocrine system	disease of anatomical entity	T047	C05; C10; C19	HP:0000818; HP:0000707	DOID:7	C0001206	D000172	HP:0000845	2449	NA	NA
HBDIS000037	Acth Syndrome, Ectopic	Acth Syndrome, Ectopic; Ectopic Cushing Syndrome; Ectopic Acth Syndrome	disease	Disease or Syndrome	Neoplasms	NA	disease of anatomical entity	T047	C04	NA	DOID:7	C0001231	D000182	NA	60890	E24.3	NA
HBDIS000038	Actinobacillus Infections	Actinobacillosis; Actinobacillus Infections	disease	Disease or Syndrome	Infections	NA	disease of anatomical entity; disease by infectious agent	T047	C01	NA	DOID:0050117; DOID:7	C0001249	D000189	NA	4974	NA	NA
HBDIS000039	Actinomycosis	Actinomycosis; Actinomycosis, Unspecified	group	Disease or Syndrome	Infections	NA	disease of anatomical entity; disease by infectious agent	T047	C01	NA	DOID:0050117; DOID:7	C0001261	D000196	NA	8478	A42; A42.9	NA
HBDIS000040	Acute Alcoholic Liver Disease	Alcoholic Hepatitis	disease	Disease or Syndrome	Digestive System Diseases; Mental Disorders; Chemically-Induced Disorders	NA	disease of anatomical entity	T047	C06; F03; C25	NA	DOID:7	C0001306	NA	NA	12351	NA	NA
HBDIS000041	Acute And Subacute Liver Necrosis (Disorder)	Hepatitis	disease	Disease or Syndrome	Digestive System Diseases	NA	disease of anatomical entity	T047	C06	NA	DOID:7	C0001308	NA	NA	2237	NA	NA
HBDIS000042	Acute Bronchiolitis	Acute Bronchiolitis, Unspecified; Acute Bronchiolitis	disease	Disease or Syndrome	Infections; Respiratory Tract Diseases	NA	NA	T047	C01; C08	NA	NA	C0001311	NA	NA	NA	J21; J21.9	NA
HBDIS000043	Herpetic Acute Necrotizing Encephalitis	Meningoencephalitis, Herpetic; Encephalitis, Herpes; Herpetic Acute Necrotizing Encephalitis; Encephalitis, Herpes Simplex	disease	Disease or Syndrome	Infections; Nervous System Diseases	NA	NA	T047	C01; C10	NA	NA	C0001338	D020803	NA	NA	NA	NA
HBDIS000044	Acute Pancreatitis	Pancreatitis, Acute; Acute Pancreatitis; Pancreatitis; Acute Pancreatic Inflammation	disease	Disease or Syndrome	Digestive System Diseases	Abnormality of the immune system; Abnormality of the digestive system	disease of anatomical entity	T047	C06	HP:0025031; HP:0002715	DOID:7	C0001339	NA	HP:0001735	4989; 2913	K85	NA
HBDIS000045	Acute Periodontitis	Acute Pericementitis; Acute Periodontitis	disease	Disease or Syndrome	Stomatognathic Diseases	NA	disease of anatomical entity	T047	C07	NA	DOID:7	C0001342	NA	NA	10423	K05.2	NA
HBDIS000046	Acute Pharyngitis	Acute Pharyngitis, Unspecified; Acute Pharyngitis; Pharyngitis	disease	Disease or Syndrome	Stomatognathic Diseases; Otorhinolaryngologic Diseases; Infections; Respiratory Tract Diseases	NA	disease of anatomical entity	T047	C01; C07; C08; C09	NA	DOID:7	C0001344	NA	NA	2275	J02.9; J02	NA
HBDIS000047	Acute-Phase Reaction	Acute-Phase Reaction	phenotype	Pathologic Function	Pathological Conditions, Signs and Symptoms	NA	NA	T046	C23	NA	NA	C0001349	D000210	NA	NA	NA	NA
HBDIS000048	Acute Tonsillitis	Acute Tonsillitis; Acute Tonsillitis, Unspecified	disease	Disease or Syndrome	Stomatognathic Diseases; Otorhinolaryngologic Diseases; Infections; Respiratory Tract Diseases	NA	NA	T047	C01; C07; C08; C09	NA	NA	C0001361	NA	NA	NA	J03; J03.9	NA
HBDIS000049	Acute Vascular Insufficiency of Intestine (Disorder)	Acute Vascular Insufficiency of Intestine	disease	Disease or Syndrome	Digestive System Diseases	NA	disease of anatomical entity	T047	C06	NA	DOID:7	C0001363	NA	NA	8590	NA	NA
HBDIS000050	Massive Hepatic Necrosis	Massive Hepatic Necrosis	phenotype	Pathologic Function	Digestive System Diseases	NA	NA	T046	C06	NA	NA	C0001364	D047508	NA	NA	NA	NA
HBDIS000051	Addison Disease	Adrenal Aplasia; Adrenocortical Insufficiency; Adrenal Hypoplasia; Adrenal Cortical Hypofunction; Primary Adrenal Insufficiency; Primary Adrenocortical Failure; Addison Disease; Hypoadrenocorticism, Familial; Primary Adrenocortical Insufficiency; Addison'S Disease	disease	Disease or Syndrome	Immune System Diseases; Endocrine System Diseases	Abnormality of the endocrine system	disease of anatomical entity	T047	C19; C20	HP:0000818	DOID:7	C0001403	D000224	HP:0008207	13774; 10493	E27.1	240200
HBDIS000052	Adenitis	Adenitis; Lymphadenitis	phenotype	Sign or Symptom	Hemic and Lymphatic Diseases	NA	NA	T184	C15	NA	NA	C0001416	D008199	NA	NA	NA	NA
HBDIS000053	Adenocarcinoma	Adenocarcinoma; Tubular Adenocarcinoma; Granular Cell Carcinoma; Adenocarcinoma, Oxyphilic; Adenocarcinoma, Basal Cell; Adenocarcinoma, Tubular; Carcinoma, Cribriform; Carcinoma, Granular Cell; Cribriform Carcinoma	group	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001418	D000230	NA	4929; 4903; 5675; 299	NA	NA
HBDIS000054	Papillary Adenocarcinoma	Papillary Adenocarcinoma; Thyroid Gland Papillary Carcinoma; Papillary Renal Cell Carcinoma; Adenocarcinoma, Papillary	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001420	D000231	NA	3969; 4465; 3112	NA	NA
HBDIS000055	Adenofibroma	Papillary Adenofibroma; Fibroadenosis; Adenofibroma; Cystadenofibroma; Clear Cell Adenofibroma	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001422	D000232	NA	5477; 5482; 5479; 2683	NA	NA
HBDIS000056	Adenolymphoma	Adenolymphoma	disease	Neoplastic Process	Neoplasms	NA	NA	T191	C04	NA	NA	C0001429	D000235	NA	NA	NA	NA
HBDIS000057	Adenoma	Adenoma, Papillary; Adenoma, Basal Cell; Papillary Adenoma; Adenoma, Monomorphic; Adenoma, Microcystic; Adenoma, Follicular; Adenoma, Trabecular; Follicular Adenoma; Adenoma; Microcystic Adenoma	group	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001430	D000236	NA	6204; 5403; 3172; 657	NA	NA
HBDIS000058	Adenoma, Chromophobe	Chromophobe Adenoma; Adenoma, Chromophobe	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001432	D000238	NA	3828	NA	NA
HBDIS000059	Adenoma, Acidophil	Acidophil Adenoma; Adenoma, Acidophil; Acth-Secreting Pituitary Adenoma	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001433	D000239	NA	7004; 5392	NA	NA
HBDIS000060	Adenosarcoma	Adenosarcoma; Nephroblastoma	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001442	D018195	NA	1974; 2154	NA	NA
HBDIS000061	Adenovirus Infections	Adenovirus Infections; Adenoviridae Infections; Adenovirus Infection, Unspecified	group	Disease or Syndrome	Infections	NA	NA	T047	C01	NA	NA	C0001486	D000257	NA	NA	B34.0	NA
HBDIS000062	Postoperative Adhesion	NA	phenotype	Acquired Abnormality	Pathological Conditions, Signs and Symptoms	NA	NA	T020	C23	NA	NA	C0001510	NA	NA	NA	NA	NA
HBDIS000063	Tissue Adhesions	Tissue Adhesions	phenotype	Pathologic Function	Pathological Conditions, Signs and Symptoms	NA	NA	T046	C23	NA	NA	C0001511	D000267	NA	NA	NA	NA
HBDIS000064	Adiposis Dolorosa	Lipomatosis; Adiposis Dolorosa	disease	Disease or Syndrome	Skin and Connective Tissue Diseases; Nutritional and Metabolic Diseases	NA	disease of anatomical entity	T047	C17; C18	NA	DOID:7	C0001529	D000274	NA	3928; 3153	NA	103200
HBDIS000065	Adjustment Disorders	Adjustment Disorders; Neurotic Disorder; Depression, Reactive; Adjustment Disorder; Transient Situational Disturbance	group	Mental or Behavioral Dysfunction	Mental Disorders	NA	disease of mental health	T048	F03	NA	DOID:150	C0001546	D000275	NA	507; 4964	F43.2	NA
HBDIS000066	Adnexal Diseases	Adnexal Diseases	group	Disease or Syndrome	Female Urogenital Diseases and Pregnancy Complications	NA	NA	T047	C13	NA	NA	C0001576	D000291	NA	NA	NA	NA
HBDIS000067	Adrenal Cortex Diseases	Adrenal Cortex Diseases; Adrenal Cortex Disease	group	Disease or Syndrome	Endocrine System Diseases	NA	disease of anatomical entity	T047	C19	NA	DOID:7	C0001614	D000303	NA	3952	NA	NA
HBDIS000068	Tumors of Adrenal Cortex	Adrenal Cortex Neoplasms; Neoplasm of The Adrenal Cortex; Adrenal Cortex Cancer; Cancer of Adrenal Cortex; Cortical Adrenal Neoplasia	group	Neoplastic Process	Neoplasms; Endocrine System Diseases	Neoplasm; Abnormality of the endocrine system	disease of anatomical entity; disease of cellular proliferation	T191	C04; C19	HP:0000818; HP:0002664	DOID:14566; DOID:7	C0001618	D000306	HP:0100641	660	NA	NA
HBDIS000069	Adrenal Gland Diseases	Disorder of Adrenal Gland, Unspecified; Abnormality of The Adrenal Glands; Adrenal Gland Diseases; Adrenal Abnormalities; Adrenal Gland Disease	group	Disease or Syndrome	Endocrine System Diseases	Abnormality of the endocrine system	disease of anatomical entity	T047	C19	HP:0000818	DOID:7	C0001621	D000307	HP:0000834	9553	E27.9	NA
HBDIS000070	Adrenal Gland Hyperfunction	Adrenocortical Hyperfunction; Primary Hyperaldosteronism; Adrenal Gland Hyperfunction	phenotype	Disease or Syndrome	Endocrine System Diseases	NA	disease of anatomical entity	T047	C19	NA	DOID:7	C0001622	D000308	NA	446; 3947	NA	NA
HBDIS000071	Adrenal Gland Hypofunction	Adrenal Insufficiency; Adrenal Cortical Hypofunction; Hypofunction, Adrenal Gland; Addison'S Disease; Hypoadrenalism	phenotype	Disease or Syndrome	Endocrine System Diseases	Abnormality of the endocrine system	disease of anatomical entity	T047	C19	HP:0000818	DOID:7	C0001623	D000309	HP:0000846	13774; 10493	NA	NA
HBDIS000072	Adrenal Gland Neoplasms	Adrenal Neoplasia; Adrenal Gland Neoplasms; Neoplasm of The Adrenal Gland; Adrenal Gland Cancer; Adrenal Cancer	group	Neoplastic Process	Neoplasms; Endocrine System Diseases	Neoplasm; Abnormality of the endocrine system	disease of anatomical entity; disease of cellular proliferation	T191	C04; C19	HP:0000818; HP:0002664	DOID:14566; DOID:7	C0001624	D000310	HP:0100631	3953	NA	NA
HBDIS000073	Congenital Adrenal Hyperplasia	Adrenal Hyperplasia, Congenital; Congenital Adrenal Hyperplasia	disease	Disease or Syndrome	Female Urogenital Diseases and Pregnancy Complications; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases; Male Urogenital Diseases; Endocrine System Diseases	Abnormality of the endocrine system	genetic disease; disease of metabolism	T047	C12; C19; C18; C16; C13	HP:0000818	DOID:0014667; DOID:630	C0001627	D000312	HP:0008258	50811	NA	NA
HBDIS000074	Adrenal Rest Tumor	Adrenal Rest Tumor	disease	Neoplastic Process	Neoplasms	NA	disease of anatomical entity; disease of cellular proliferation	T191	C04	NA	DOID:14566; DOID:7	C0001630	D000314	NA	1786	NA	NA
HBDIS000075	Adult Antisocial Behavior	NA	phenotype	Mental or Behavioral Dysfunction	NA	NA	NA	T048	NA	NA	NA	C0001676	NA	NA	NA	NA	NA
HBDIS000076	Affective Disorders, Psychotic	Mood Disorder; Affective Disorders, Psychotic	group	Mental or Behavioral Dysfunction	Mental Disorders	NA	disease of mental health	T048	F03	NA	DOID:150	C0001723	D000341	NA	3324	NA	NA
HBDIS000077	Affective Symptoms	Alexithymia; Emotional Disturbances; Affective Symptoms	phenotype	Sign or Symptom	Behavior and Behavior Mechanisms	NA	NA	T184	F01	NA	NA	C0001726	D000342	NA	NA	NA	NA
HBDIS000078	Afibrinogenemia	Hypofibrinogenemia, Congenital; Fibrinogen Deficiency; Afibrinogenemia; Congenital Afibrinogenemia	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Hemic and Lymphatic Diseases	NA	disease of anatomical entity; genetic disease	T047	C16; C15	NA	DOID:7; DOID:630	C0001733	D000347	NA	2236	NA	NA
HBDIS000079	African Swine Fever	Swine Fever, African; African Swine Fever	disease	Disease or Syndrome	Animal Diseases; Infections	NA	NA	T047	C01; C22	NA	NA	C0001752	D000357	NA	NA	NA	NA
HBDIS000080	Agammaglobulinemia	Agammaglobulinemia; Hypogammaglobulinemia; Agammaglobulinaemia	disease	Disease or Syndrome	Immune System Diseases; Hemic and Lymphatic Diseases	Abnormality of metabolism/homeostasis; Abnormality of the immune system; Abnormal cellular phenotype	disease of anatomical entity	T047	C15; C20	HP:0001939; HP:0025354; HP:0002715	DOID:7	C0001768	D000361	HP:0004432	2583	NA	NA
HBDIS000081	Osteoporosis, Age-Related	Post-Traumatic Osteoporosis; Osteoporosis, Senile; Osteoporosis, Age-Related; Osteoporosis	disease	Disease or Syndrome	Nutritional and Metabolic Diseases; Musculoskeletal Diseases	NA	NA	T047	C05; C18	NA	NA	C0001787	D010024	NA	NA	NA	NA
HBDIS000082	Aggressive Behavior	Aggressive Behavior; Aggressive Behaviour; Physical Aggression; Aggressiveness; Aggressive/Violent Behavior; Aggression; Abnormal Aggressive, Impulsive Or Violent Behavior	phenotype	Individual Behavior	Behavior and Behavior Mechanisms	Abnormality of the nervous system	NA	T055	F01	HP:0000707	NA	C0001807	D000374	HP:0006919; HP:0000718	NA	NA	NA
HBDIS000083	Aging	Aging	phenotype	Organism Function	NA	NA	NA	T040	NA	NA	NA	C0001811	D000375	NA	NA	NA	502000
HBDIS000084	Primary Myelofibrosis	Primary Myelofibrosis; Myelofibrosis	disease	Neoplastic Process	Hemic and Lymphatic Diseases	NA	disease of anatomical entity; disease of cellular proliferation	T191	C15	NA	DOID:14566; DOID:7	C0001815	D055728	NA	4971	NA	NA
HBDIS000085	Agnosia	Tactile Agnosia; Finger Agnosia; Anosognosia; Visual Agnosia; Agnosia; Agnosia For Pain	disease	Mental or Behavioral Dysfunction	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the nervous system	disease of mental health	T048	F01; C10; C23	HP:0000707	DOID:150	C0001816	D000377	HP:0010524	4090	R48.1	NA
HBDIS000086	Agoraphobia	Agoraphobia; Fear of Open Spaces	disease	Mental or Behavioral Dysfunction	Mental Disorders	Abnormality of the nervous system	disease of mental health	T048	F03	HP:0000707	DOID:150	C0001818	D000379	HP:0000756	593	F40.0	NA
HBDIS000087	Agranulocytosis	Severe Congenital Neutropenia; Agranulocytosis; Neutropenia	disease	Disease or Syndrome	Hemic and Lymphatic Diseases	Abnormality of the immune system; Abnormality of blood and blood-forming tissues	disease of anatomical entity	T047	C15	HP:0002715; HP:0001871	DOID:7	C0001824	D000380	HP:0012234	50590; 12987; 1227	D70	NA
HBDIS000088	Agraphia	Agraphia; Dysgraphia	disease	Mental or Behavioral Dysfunction	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	NA	disease of mental health	T048	C10; C23	NA	DOID:150	C0001825	D000381	NA	60223; 4540	NA	NA
HBDIS000089	Agricultural Workers' Diseases	Agricultural Workers' Diseases	group	Disease or Syndrome	Occupational Diseases	NA	NA	T047	C24	NA	NA	C0001828	D000382	NA	NA	NA	NA
HBDIS000090	Aids Dementia Complex	Hiv Encephalopathy; Aids Dementia Complex; Dementia In Human Immunodeficiency Virus [Hiv] Disease; Hiv-1-Associated Cognitive Motor Complex	disease	Disease or Syndrome	Mental Disorders; Immune System Diseases; Infections; Nervous System Diseases	NA	NA	T047	C01; F03; C10; C20	NA	NA	C0001849	D015526	NA	NA	F02.4	NA
HBDIS000091	Aids Related Complex	Acquired Immunodeficiency Syndrome; Aids-Related Complex; Human Immunodeficiency Virus Infectious Disease; Complex, Aids-Related	disease	Disease or Syndrome	Immune System Diseases; Infections	NA	disease by infectious agent	T047	C01; C20	NA	DOID:0050117	C0001857	D000386	NA	526; 635	NA	NA
HBDIS000092	Airway Obstruction	Airway Obstruction; Choking	group	Disease or Syndrome	Respiratory Tract Diseases	NA	NA	T047	C08	NA	NA	C0001883	D000402	NA	NA	NA	NA
HBDIS000093	Akinetic Mutism	Akinetic Mutism	disease	Disease or Syndrome	Nervous System Diseases	Abnormality of the nervous system	disease of anatomical entity	T047	C10	HP:0000707	DOID:7	C0001889	D000405	HP:0012672	4267	NA	NA
HBDIS000094	Akinetic Petit Mal	Epilepsy, Minor; Juvenile Absence Epilepsy; Epilepsy, Absence, Atypical; Absence Seizure Disorder; Childhood Absence Epilepsy; Akinetic Petit Mal; Epilepsy, Absence; Absence Epilepsy	disease	Disease or Syndrome	Nervous System Diseases	NA	NA	T047	C10	NA	NA	C0001890	D004832	NA	NA	NA	NA
